uniqueID,sentence
1,Atheism is a non #prophet organization.
2,I get my large circumference from too much #pi.
3,Bakers trade bread recipes on a #knead to know basis.
4,The indecisive rower could not choose either #oar.
5,It was an emotional wedding. Even the cake was in #tiers.
6,A new country decided to conduct a flag #poll.
7,At some executive meetings there is a chairman of the #bored.
8,Did you know that donuts were first made in #Greece?
9,I always prayed before my trigonometry tests. I was hoping for a #sine from above.
10,It was not school john disliked. It was just the #principal of it.
11,Some music stores are in a #CD part of town.
12,The magician got so mad he pulled his #hare out.
13,The young pine sapling was admonished by his father. Apparently he had been #knotty.
14,To learn rope tricks you have to be #taut.
15,I dropped out of communism class because of lousy #Marx.
16,A boy who instinctively waves at people has a natural #hi.
17,A teacher having a tough time longs for the end of the school #daze.
18,Authors in jail have their #prose and cons.
19,Do not expect to eat something fancy when you are flying because it is #plane food.
20,I saw a beaver movie last night. It was the best #dam movie I have ever seen.
21,My computer is so slow it #hertz.
22,The actors had one great movie after another. They were on a #role.
23,The man put his name on the neck of his shirt so he would have #collar ID.
24,Thieves have muscles of #steal.
25,When an actress saw her first strands of gray hair she thought she would #dye.
26,A cardboard belt would be a #waist of paper.
27,Being able to fit size fourteen shoes is quite a #feet.
28,The mime wanted to say something but he was not #aloud.
29,Those who carry too many buckets start feeling #pail.
30,A man's home is his castle in a #manor of speaking.
31,An online poker tournament ended suddenly when the computer #cached in its chips.
32,Britain is a wet place since the queen has had a long #reign.
33,Herb gardeners who work extra get #thyme and a half.
34,If you say you have bad skin I would say that was a #pore excuse.
35,People who like gold paint have a #gilt complex.
36,To #heir is human.
37,When their boy was little they only got rest after #son down.
38,Novice pirates make terrible singers because they cannot hit the high #Cs.
39,An electrician is a bright spark who knows what's #watt.
40,When the mayor wanted to slash the budget he turned to a fund #razor.
41,Boyscouts know which ropes to tie and what #knot.  
42,If you could ask someone anything about trees what #wood you ask?
43,The person that Colby Jack and Cheddar Jr. were most afraid of in school was the cheese #grader.
44,I'm blind so #eye can't see.
45,We didn't know whether to keep our biology program or #cell it.
46,It will cost you more than a #scent to get rid of that smell.
47,I tried to stick with the rough class but it was just too #course for my liking.
48,Our pet is very #deer to us.
49,You don't want to #bee around a hive for too long.
50,You should run really fast but be careful not to #brake anything.
51,The pastry chef brought his girlfriend #flours on Valentine's Day.
52,The driver at the toll insisted it wasn't #fare.
53,He injured his foot and now it just won't #heel.
54,I wrote a song about my priest so that I could perform it for #hymn.
55,Mother #no's best.
56,When I stayed at the hotel I made sure I didn't sleep #inn.
57,We spent some time looking for the celebrity before she realized she didn't want to #idol.
58,She didn't want to clean up but I #maid her.
59,When the new church opened #nun of us cared.
60,He cried when he woke up. It was #mourning.
61,The butcher was very glad we could #meat.
62,The fisherman couldn't believe what he caught; he didn't think it was #reel.
63,If I were brave enough to be a fruit farmer I would grow a #pear.
64,All the birds in the parish were birds of #pray.
65,If you want to make it all the way to a tree farm you had better take a different #root.
66,Nationalism is a non #prophet organization.
67,I get my large waistline from too much #pi.
68,Mothers trade cake recipes on a #knead to know basis.
69,The indecisive customer could not choose either #oar.
70,It was an emotional wedding. Even the mother-in-law was in #tiers.
71,A new country decided to conduct a gallup #poll.
72,At some executive galas there is a chairman of the #bored.
73,Did you know that dolmas were first made in #Greece?
74,I always prayed before my biology tests. I was hoping for a #sine from above.
75,It was not church john disliked. It was just the #principal of it.
76,Some grocery stores are in a #CD part of town.
77,The professor got so mad he pulled his #hare out.
78,The young boy was admonished by his father. Apparently he had been #knotty.
79,To learn skateboard tricks you have to be #taut.
80,I dropped out of math class because of lousy #Marx.
81,A boy who instinctively takes risks has a natural #hi.
82,A teacher having a tough time longs for the end of the school #daze.
83,Bankers in jail have their #prose and cons.
84,Do not expect to eat something fancy when you are driving because it is #plane food.
85,I saw a horror movie last night. It was the best #dam movie I have ever seen.
86,My horse is so slow it #hertz.
87,The directors had one great movie after another. They were on a #role.
88,The man put his name on the pocket of his shirt so he would have #collar ID.
89,Bodybuilders have muscles of #steal.
90,When an actress saw her first wrinkle she thought she would #dye.
91,A cardboard fort would be a #waist of paper.
92,Being able to fit size fourteen pants is quite a #feet.
93,The intern wanted to say something but he was not #aloud.
94,Those who carry too many burdens start feeling #pail.
95,A man's family is his anchor in a manor of speaking.
96,An online poker tournament ended suddenly when the competitor #cached in his chips.
97,Britain is a wet place since the autumn has had a long #reign.
98,Tomato gardeners who work extra get #thyme and a half.
99,If you say you have bad teeth I would say that was a #pore excuse.
100,People who like purple paint have a #gilt complex.
101,To #heir is careless.
102,When their parrot was little they only got rest after #son down.
103,Novice choristers make terrible singers because they cannot hit the high #C's.
104,An optometrist is a bright spark who knows what's #watt.
105,When the mayor wanted to balance the budget he turned to a fund #razor.
106,Daniel is a biblical #prophet known for interpreting dreams.
107,He can recite the number #pi up to ten decimal places.
108,Bakers #knead flour and milk together to make bread dough.
109,The fisherman dipped the #oar in the river.
110,Boxes are stacked in #tiers in the warehouse.
111,Pollsters conducted a #poll on the popularity of the political candidates.
112,The old man is alone all the time and is #bored to tears.
113,#Greece is a country in the the southern portion of Europe.
114,In mathematics the #sine function is a function of an angle.
115,Ms. Wu is the #principal of our local high school.
116,I bought a new #CD today in classical music.
117,The #hare ran rapidly through the fields.
118,That cabin is made of #knotty pine.
119,The clothesline hangs #taut between two poles.
120,Karl #Marx was a german philosopher.
121,He waved at me to say #hi.
122,She was in a #daze after learning the bad news.
123,Novels and essays are written in #prose.
124,Our #plane landed at the airport.
125,That beaver is building a #dam with logs and sticks.
126,This computer has a processing speed of thirty-three mega #hertz.
127,She plays the leading #role in a television show.
128,He puts a #collar on his dog before walking it.
129,The little boy wanted to #steal his friend's candy but decided not to.
130,Some people do not like to #dye their hair.
131,She must have a small #waist; look how tiny her belt is!
132,These new shoes are hurting my #feet.
133,The student read her poem #aloud in class.
134,A worker filled a #pail with water to clean the floor.
135,Those wealthy people live in a huge #manor.
136,#Cached copies of the web pages are stored in the database.
137,The king's #reign ended and his heir took over.
138,One of my favorite meals is chicken in a creamy sauce flavored with #thyme.
139,A #pore is a very small opening on the surface of your skin.
140,She covered the frame with #gilt.
141,Prince William is #heir to the british throne.
142,They have a #son and a daughter.
143,It is hard even for a soprano to sing the high #C's.
144,My desk lamp uses a sixty #watt light bulb.
145,He used a #razor to shave his beard.
146,It's easy to tie a double #knot.
147,We get our #wood from trees.
148,A #grader was hired to score all of the tests.
149,I was poked in the #eye.
150,We learned about how a #cell works in biology.
151,That #scent is unpleasant.
152,I took a #course in school.
153,There are #deer in the forest.
154,He tried to steal honey but was stung by an angry #bee.
155,Cars should #brake slowly.
156,We use different kinds of #flours in baking.
157,The #fare had to be paid.
158,His #heel was bruised from walking too much.
159,We sang a #hymn in church.
160,I answered with a string of #no's.
161,We stayed at an #inn.
162,That famous movie star is my #idol.
163,I hired a #maid to clean.
164,The #nun was very pious and kind.
165,We were in #mourning after our loved one died.
166,Vegetarians don't like #meat.
167,You need to #reel in the fish.
168,She ate a #pear and two apples.
169,It is customary for Christians to #pray before bed.
170,He tripped over a tree's #root.
171,That business made one million dollars in #profit last year.
172,Would you like some apple #pie for dessert?
173,The company has a #need for computer programmers.
174,Take care of your car #or else you will have problems.
175,#Tears ran down her cheeks as she watched a sad movie.
176,She raised a flag up the #pole. 
177,He has a meeting with the company's #board of directors.
178,There was too much #grease on the plate.
179,The #sign on our store says the clothes boutique.
180,I believe in the #principle of physics.
181,The #seedy bar was full of drunken and unwashed people.
182,Most people have lots of #hair on their heads.
183,That boy is a #naughty child.
184,She #taught mathematics to college students.
185,She got high #marks in high school.
186,The statue is ten feet #high.
187,There are seven #days in a week.
188,What are the #pros and cons of social networking sites?
189,She felt #plain next to her beautiful sister.
190,I do not give a #damn what you say.
191,I fell and now my leg #hurts.
192,She bought a #roll of silk to make a dress.
193,The #caller on the phone is from your bank.
194,That ship is made of wood and #steel.
195,He is very scared that he will #die of a heart attack. 
196,Dealing with him is a #waste of time.
197,Passing that exam without studying was a real #feat!
198,We #allowed our son to use the family car.
199,She looks #pale and sick.
200,There was all #manner of food at the party.
201,She bought stocks for ten years and then #cashed in her chips.
202,#Rain fell on the city last night.
203,We have #time to have lunch before the meeting.
204,That family is so #poor they cannot afford to buy food.
205,A jury decides the #guilt or innocence of an accused person.
206,It is better to #err on the side of being too safe.
207,The #sun rises every morning and sets every evening.
208,The ship is in the mid-atlantic on the high #seas.
209,The teacher told the students #what to do.
210,That girl organized a fund #raiser at her local church.
211,Let's do this at but #not that.
212,Her father #would not let her go to the party.
213,The cheese #grater slices the cheese.
214,#I don't know the answer.
215,I must #sell my car for a good price.
216,He is so stingy that he would not even let me borrow a #cent.
217,You have very #coarse hair.
218,You're such a #dear friend.
219,I will #be okay; don't worry.
220,#Break a leg on your performance.
221,I picked some pretty #flowers that were growing among weeds.
222,The rules of this game are not #fair.
223,It just takes time for wounds to #heal.
224,John likes Sarah but she doesn't like #him back.
225,He #knows almost every word in the dictionary.
226,Come #in the room and close the door.
227,You're just sitting there doing nothing; don't be #idle.
228,You #made that cake all by yourself?
229,#None of it made any sense.
230,I woke up in the #morning and the sun was shining.
231,The two pen pals were finally able to #meet.
232,That diamond is not #real; it is just a very good counterfeit. 
233,I have a #pair of matching socks.
234,That mouse could easily be the eagle's #prey.
235,Take the faster #route on your way home.
236,Atheism is a non #prophet organization.
237,I get my large circumference from too much #pie.
238,Bakers trade bread recipes on a #need to know basis.
239,The indecisive rower could not choose either #or.
240,It was an emotional wedding. Even the cake was in #tears.
241,A new country decided to conduct a flag #pole.
242,At some executive meetings there is a chairman of the #board.
243,Did you know that donuts were first made in #grease?
244,I always prayed before my trigonometry tests. I was hoping for a #sign from above.
245,It was not school john disliked. It was just the #principle of it.
246,Some music stores are in a #seedy part of town.
247,The magician got so mad he pulled his #hair out.
248,The young pine sapling was admonished by his father. Apparently he had been #naughty.
249,To learn rope tricks you have to be #taught.
250,I dropped out of communism class because of lousy #marks.
251,A boy who instinctively waves at people has a natural #high.
252,A teacher having a tough time longs for the end of the school #days.
253,Authors in jail have their #pros and cons.
254,Do not expect to eat something fancy when you are flying because it is #plain food.
255,I saw a beaver movie last night. It was the best #damn movie I have ever seen.
256,My computer is so slow it #hurts.
257,The actors had one great movie after another. They were on a #roll.
258,The man put his name on the neck of his shirt so he would have #caller ID.
259,Thieves have muscles of #steel.
260,When an actress saw her first strands of gray hair she thought she would #die.
261,A cardboard belt would be a #waste of paper.
262,Being able to fit size fourteen shoes is quite a #feat.
263,The mime wanted to say something but he was not #allowed.
264,Those who carry too many buckets start feeling #pale.
265,A man's home is his castle in a #manner of speaking.
266,An online poker tournament ended suddenly when the computer #cashed in its chips.
267,Britain is a wet place since the queen has had a long #rain.
268,Herb gardeners who work extra get #time and a half.
269,If you say you have bad skin I would say that was a #poor excuse.
270,People who like gold paint have a #guilt complex.
271,To #err is human.
272,When their boy was little they only got rest after #sun down.
273,Novice pirates make terrible singers because they cannot hit the high #seas.
274,An electrician is a bright spark who knows what's #what.
275,When the mayor wanted to slash the budget he turned to a fund #raiser.
276,Boyscouts know which ropes to tie and what #not.  
277,If you could ask someone anything about trees what #would you ask?
278,The person that Colby Jack and Cheddar Jr. were most afraid of in school was the cheese #grater.
279,I'm blind so #I can't see.
280,We didn't know whether to keep our biology program or #sell it.
281,It will cost you more than a #cent to get rid of that smell.
282,I tried to stick with the rough class but it was just too #coarse for my liking.
283,Our pet is very #dear to us.
284,You don't want to #be around a hive for too long.
285,You should run really fast but be careful not to #break anything.
286,The pastry chef brought his girlfriend #flowers on Valentine's Day.
287,The driver at the toll insisted it wasn't #fair.
288,He injured his foot and now it just won't #heal.
289,I wrote a song about my priest so that I could perform it for #him.
290,Mother #knows best.
291,When I stayed at the hotel I made sure I didn't sleep #in.
292,We spent some time looking for the celebrity before she realized she didn't want to #idle.
293,She didn't want to clean up but I #made her.
294,When the new church opened #none of us cared.
295,He cried when he woke up. It was #morning.
296,The butcher was very glad we could #meet.
297,The fisherman couldn't believe what he caught; he didn't think it was #real.
298,If I were brave enough to be a fruit farmer I would grow a #pair.
299,All the birds in the parish were birds of #prey.
300,If you want to make it all the way to a tree farm you had better take a different #route.
301,Nationalism is a non #profit organization.
302,I get my large waistline from too much #pie.
303,Mothers trade cake recipes on a #need to know basis.
304,The indecisive customer could not choose either #or.
305,It was an emotional wedding. Even the mother-in-law was in #tears.
306,A new country decided to conduct a gallup #pole.
307,At some executive galas there is a chairman of the #board.
308,Did you know that dolmas were first made in #grease?
309,I always prayed before my biology tests. I was hoping for a #sign from above.
310,It was not church john disliked. It was just the #principle of it.
311,Some grocery stores are in a #seedy part of town.
312,The professor got so mad he pulled his #hair out.
313,The young boy was admonished by his father. Apparently he had been #naughty.
314,To learn skateboard tricks you have to be #taught.
315,I dropped out of math class because of lousy #marks.
316,A boy who instinctively takes risks has a natural #high.
317,A teacher having a tough time longs for the end of the school #days.
318,Bankers in jail have their #pros and cons.
319,Do not expect to eat something fancy when you are driving because it is #plain food.
320,I saw a horror movie last night. It was the best #damn movie I have ever seen.
321,My horse is so slow it #hurts.
322,The directors had one great movie after another. They were on a #roll.
323,The man put his name on the pocket of his shirt so he would have #caller ID.
324,Bodybuilders have muscles of #steel.
325,When an actress saw her first wrinkle she thought she would #die.
326,A cardboard fort would be a #waste of paper.
327,Being able to fit size fourteen pants is quite a #feat.
328,The intern wanted to say something but he was not #allowed.
329,Those who carry too many burdens start feeling #pale.
330,A man's family is his anchor in a manor of speaking.
331,An online poker tournament ended suddenly when the competitor #cashed in his chips.
332,Britain is a wet place since the autumn has had a long #rain.
333,Tomato gardeners who work extra get #time and a half.
334,If you say you have bad teeth I would say that was a #poor excuse.
335,People who like purple paint have a #guilt complex.
336,To #err is careless.
337,When their parrot was little they only got rest after #sun down.
338,Novice choristers make terrible singers because they cannot hit the high #sea's.
339,An optometrist is a bright spark who knows what's #what.
340,When the mayor wanted to balance the budget he turned to a fund #raiser.
341,Daniel is a biblical #profit known for interpreting dreams.
342,He can recite the number #pie up to ten decimal places.
343,Bakers #need flour and milk together to make bread dough.
344,The fisherman dipped the #or in the river.
345,Boxes are stacked in #tears in the warehouse.
346,Pollsters conducted a #pole on the popularity of the political candidates.
347,The old man is alone all the time and is #board to tears.
348,#Grease is a country in the the southern portion of Europe.
349,In mathematics the #sign function is a function of an angle.
350,Ms. Wu is the #principle of our local high school.
351,I bought a new #seedy today in classical music.
352,The #hair ran rapidly through the fields.
353,That cabin is made of #naughty pine.
354,The clothesline hangs #taught between two poles.
355,Karl #marks was a german philosopher.
356,He waved at me to say #high.
357,She was in a #days after learning the bad news.
358,Novels and essays are written in #pros.
359,Our #plain landed at the airport.
360,That beaver is building a #damn with logs and sticks.
361,This computer has a processing speed of thirty-three mega #hurts.
362,She plays the leading #roll in a television show.
363,He puts a #caller on his dog before walking it.
364,The little boy wanted to #steel his friend's candy but decided not to.
365,Some people do not like to #die their hair.
366,She must have a small #waste; look how tiny her belt is!
367,These new shoes are hurting my #feat.
368,The student read her poem #allowed in class.
369,A worker filled a #pale with water to clean the floor.
370,Those wealthy people live in a huge #manner.
371,#Cashed copies of the web pages are stored in the database.
372,The king's #rain ended and his heir took over.
373,One of my favorite meals is chicken in a creamy sauce flavored with #time.
374,A #poor is a very small opening on the surface of your skin.
375,She covered the frame with #guilt.
376,Prince William is #err to the british throne.
377,They have a #sun and a daughter.
378,It is hard even for a soprano to sing the high #seas.
379,My desk lamp uses a sixty #what light bulb.
380,He used a #raiser to shave his beard.
381,It's easy to tie a double #not.
382,We get our #would from trees.
383,A #grater was hired to score all of the tests.
384,I was poked in the #I.
385,We learned about how a #sell works in biology.
386,That #cent is unpleasant.
387,I took a #coarse in school.
388,There are #dear in the forest.
389,He tried to steal honey but was stung by an angry #be.
390,Cars should #break slowly.
391,We use different kinds of #flowers in baking.
392,The #fair had to be paid.
393,His #heal was bruised from walking too much.
394,We sang a #him in church.
395,I answered with a string of #no's.
396,We stayed at an #in.
397,That famous movie star is my #idle.
398,I hired a #made to clean.
399,The #none was very pious and kind.
400,We were in #morning after our loved one died.
401,Vegetarians don't like #meet.
402,You need to #real in the fish.
403,She ate a #pair and two apples.
404,It is customary for Christians to #prey before bed.
405,He tripped over a tree's #route.
406,That business made one million dollars in #prophet last year.
407,Would you like some apple #pi for dessert?
408,The company has a #knead for computer programmers.
409,Take care of your car #oar else you will have problems.
410,#Tiers ran down her cheeks as she watched a sad movie.
411,She raised a flag up the #poll. 
412,He has a meeting with the company's #bored of directors.
413,There was too much #Greece on the plate.
414,The #sine on our store says the clothes boutique.
415,I believe in the #principal of physics.
416,The #CD bar was full of drunken and unwashed people.
417,Most people have lots of #hare on their heads.
418,That boy is a #knotty child.
419,She #taut mathematics to college students.
420,She got high #Marx in high school.
421,The statue is ten feet #hi.
422,There are seven #daze in a week.
423,What are the #prose and cons of social networking sites?
424,She felt #plane next to her beautiful sister.
425,I do not give a #dam what you say.
426,I fell and now my leg #hertz.
427,She bought a #role of silk to make a dress.
428,The #collar on the phone is from your bank.
429,That ship is made of wood and #steal.
430,He is very scared that he will #dye of a heart attack. 
431,Dealing with him is a #waist of time.
432,Passing that exam without studying was a real #feet!
433,We #aloud our son to use the family car.
434,She looks #pail and sick.
435,There was all #manor of food at the party.
436,She bought stocks for ten years and then #cached in her chips.
437,#Reign fell on the city last night.
438,We have #thyme to have lunch before the meeting.
439,That family is so #pore they cannot afford to buy food.
440,A jury decides the #gilt or innocence of an accused person.
441,It is better to #heir on the side of being too safe.
442,The #son rises every morning and sets every evening.
443,The ship is in the mid-atlantic on the high #c's.
444,The teacher told the students #watt to do.
445,That girl organized a fund #razor at her local church.
446,Let's do this at but #knot that.
447,Her father #wood not let her go to the party.
448,The cheese #grader slices the cheese.
449,#Eye don't know the answer.
450,I must #cell my car for a good price.
451,He is so stingy that he would not even let me borrow a #scent.
452,You have very #course hair.
453,You're such a #deer friend.
454,I will #bee okay; don't worry.
455,#Brake a leg on your performance.
456,I picked some pretty #flours that were growing among weeds.
457,The rules of this game are not #fare.
458,It just takes time for wounds to #heel.
459,John likes Sarah but she doesn't like #hymn back.
460,He #no's almost every word in the dictionary.
461,Come #inn the room and close the door.
462,You're just sitting there doing nothing; don't be #idol.
463,You #maid that cake all by yourself?
464,#Nun of it made any sense.
465,I woke up in the #mourning and the sun was shining.
466,The two pen pals were finally able to #meat.
467,That diamond is not #reel; it is just a very good counterfeit. 
468,I have a #pear of matching socks.
469,That mouse could easily be the eagle's #pray.
470,Take the faster #root on your way home.
