sentence,homophone
A circus truck driver refused to tow the #lion.,line
A dentist has to tell a patient the whole #tooth.,truth
"A handlebar mustache may look ridiculous, but symmetrical eyelashes are even #cilia.",sillier
A man sprayed a boy with ceiling foam. He was arrested for #insulating behavior.,insulting
A man used money that he had inherited from his late father and put an addition on his house. It was an #heir extension.,hair
A men's wear store has opening and #clothing times.,closing
A paramedic got a new job as a chauffeur: an #ambiance driver.,ambulance
A pet store had a bird contest with no #perches necessary.,purchase
A pun is its own #reword.,reward
A rubber band pistol was confiscated from algebra class because it was a weapon of #math disruption.,mass
A thief who stole cutlery without leaving a clue was called the 'stainless #stealer.',steeler
"After getting pranked by his friends and getting hit with a basket, Aron knew they had a #wickerd sense of humour.",wicked
Aliens are lovable because they're so #spatial.,special
An astronaut gets to take a Turn as a #whirled traveler.,world
"As a young boy, Brutus' mother often cautioned him not to run with #Caesars.",scissors
Astronauts like to do #launch.,lunch
At a flower show the first prize is often a #bloom ribbon.,blue
"At a pet store: 'buy one dog, get one #flea'.",free
Be kind to your dentist because he has #fillings too.,feelings
"Before the revolution, Russia was in a #Tsary state.",scary
"Bell, Bark and Kennel, a novel by Ivan Pavlov, chronicles the birth of the #Salivation Army.",salvation
Dentists don't like a hard day at the #orifice.,office
Dentists have their own #flossify on how to keep teeth clean.,philosophy
"Even though Ashley was blind and under arrest, she still had hope that someone would #brail her out.",bail
"Even though he contributes either the X or Y chromosome, when a father chooses the sex of his child it's just a #sperm of the moment decision.",spurr
For children to eat without washing their hands would be a #grime.,crime
Grandparents faces are full of epoch marks.,pock
Having children is a #heir raising experience.,hair
He labored so hard that he worked his fingers to the #bonus.,bones
I bought me some of those new paper shirts. I don't like them - they're #tearable.,terrible
I just had some coffee that was good only for its #sedimental value.,sentimental
"I just offered someone a job and they accepted, so I offered him my #contractulations.",congratulations
I keep reading 'The Lord of the Rings' over and over. I guess it's just force of #hobbit.,habit
I like the latest horror movie so much that I've arranged a private #screaming.,screening
I like to stay current with the electrifying adventures of Sherlock #ohms.,Holmes
I need to do my philosophy homework but I just #Kant.,can't
If a barista is not allowed to make espresso she will lose her #tamper.,temper
If you spend too much time in the coffee shop you'll be #latte for work.,late
If you write bad things about me I am #libel to sue you.,liable
"In the novel, there is an unexpected secret meeting of the lovers. It is a plot #tryst.",twist
Inflammatory talk is often seen as #propane language.,profane
"John plans to retire in the spring and, like the trees around us, will be #leafing.",leaving
"Just in time for Thanksgiving a blockbuster movie about sweet potatoes, 'The Silence of the #Yams'.",Lambs
"Last night, I kept dreaming that I had written Lord of the Rings. The wife said I'd been #Tolkien in my sleep.",taken
Many people are strongly attracted to a #magnate.,magnet
Many people think that Edgar Allan Poe was a #raven madman.,raving
"My battery had an #alkaline problem, so it went to AA meetings.",alcohol
My boss does not tolerate any beards or mustaches. He is a real #shave driver.,slave
My heart starts #Aiken when Clay sings.,aching
My neighbor's sprinkler is a constant #irrigation to me.,irritation
My two uncles bet who would get married first. Then one upped the #auntie.,ante
New years resolution for the bankrupt gardener was to forget the past and rely on the #fuchsia.,future
On organic farms they #till it like it is.,tell
"One real estate agent said to another, ""#House it going?""",how's
People have a happy time vacationing in Ireland because they are walking on #Eire.,fire
People in Switzerland can't learn to ski without a lot of #Alp.,help
Scarecrows are always #garden their patch.,guarding
Selling coffee has its perks for those who have #bean so lucky.,been
Should old people feel #youthless?,useless
"Sign on a broken perfume bottle, ""Out of #odor"".",order
Sign: 'Please turn out the lights. Thanks a #watt.',lot
Some childen are often on their #pest behavior.,best
Some people have to get up for work at the #crank of dawn.,crack
Some planes are so cramped that passengers suffer jet #leg.,lag
Teaching your kids in the heat of the moment is bad #heir conditioning.,air
Ten years without brushing causes horrible tooth #decade.,decay
The actor was never quite right after he retired. He had Post #Dramatic Stress Disorder.,Traumatic
The author wasn't pleased to see a review of his book on cappuccino's. It said it was all #froth and no substance.,fluff
The English Teacher felt odd after being fired: it was post #grammatic stress disorder.,traumatic
The garden club visited the nursery and found themselves in a #hosta environment.,hostile
The Irish should be rich because their capital is always #Dublin.,doubling
The optical scientist who stole his colleague's bifocals was sentenced to three years in a state #prism.,prison
The plumber explained that the problem in my kitchen was just water under the #fridge.,bridge
The recent windstorm through the trees was an absolute #debarkle.,debocle
The robber baron was a commander-in-#thief.,chief
The satellite went into orbit on January 1st causing a new year's #revolution.,resolution
The twin girls rented flora to offices. They called their business 'Sisterhood of the Traveling #Plants'.,Pants
There is some #Confucion about the oldest religion in China.,confusion
There was a dentist who was convicted of #incisor trading.,insider
They were the quietest burglars in the history of New York City. The newspapers called them 'Criminal #Mimes.',minds
Tinker Bell was arrested for being suspiciously high. But in the end she was only fined for #glittering.,littering
To become a pilot requires a good #altitude.,attitude
To some Christmas is about other people's #presence.,presents
Two crooks bought a hotel. They were# innmates.,inmates
Vampires are always looking for their #necks victim.,next
What does a storm-cloud wear under it's coat . . . . #Thunderwear!,underwear
What does a villain call his silverware? Weapons of mass #digestion.,distruction
What would be the brand name of the highest quality copy paper money could buy? The #ream of the crop!,cream
What you #seize is what you get.,see
"When she made Mario Puzo's books required reading for her class, she made him an #author they couldn't refuse.",offer
"When the crop was destroyed, there was no more cranberry #source.",sauce
When you use glue in class it #paste to be careful.,pays
Why are Italians so good at making coffee? Because they really know how to #espresso themselves.,express
Will this computer last five years? #Obsoletely!,absolutely
Women who wear $200.00 perfume obviously are known to have no common #scents.,sense