pairID,sentenceID,sentenceType,homophoneID,version,m1,word,condition,correctPairID,dummy
2,1,pun,1,a,lion,truck,13,2,1
50,9,pun,9,a,math,weapon,13,50,1
98,19,pun,19,a,salivation,kennel,13,98,1
146,26,pun,26,a,hobbit,rings,13,990,1
194,35,pun,35,a,leafing,plans,13,194,1
242,42,pun,42,a,aiken,clay,13,1053,1
290,52,pun,52,a,odor,out,13,290,1
338,61,pun,61,a,dublin,rich,13,338,1
386,68,pun,68,a,mimes,called,13,386,1
434,78,pun,78,a,paste,glue,13,434,1
482,86,pun,6,b,ambulance,paramedic,13,482,1
530,94,pun,14,b,scissors,cautioned,13,530,1
578,102,pun,22,b,spur,moment,13,578,1
626,111,pun,31,b,late,shop,13,626,1
674,119,pun,39,b,raving,edgar,13,674,1
722,128,pun,48,b,fire,ireland,13,1656,1
770,138,pun,58,b,traumatic,stress,13,779,1
818,146,pun,66,b,pants,girls,13,818,1
866,154,pun,74,b,cream,paper,13,1748,1
914,164,nonpun,4,a,heir,prince,13,914,1
962,178,nonpun,18,a,fillings,dentist,13,962,1
1010,191,nonpun,31,a,latte,up,13,1010,1
1058,202,nonpun,42,a,aiken,idol,13,1058,1
1106,215,nonpun,55,a,crank,morning,13,1106,1
1154,229,nonpun,69,a,glittering,sun,13,1154,1
1202,243,nonpun,3,b,sillier,drinks,13,1202,1
1250,257,nonpun,17,b,free,twenty,13,1250,1
1298,270,nonpun,30,b,temper,easily,13,1298,1
1346,283,nonpun,43,b,irritation,showed,13,1346,1
1394,297,nonpun,57,b,decay,tooth,13,1394,1
1442,310,nonpun,70,b,attitude,work,13,1442,1
1443,161,nonpun,1,a,line,takes,13,1480,1
1444,163,nonpun,3,a,sillier,hairlike,13,1488,1
1445,165,nonpun,5,a,closing,food,13,1496,1
1446,167,nonpun,7,a,purchase,sunny,13,1504,1
1447,169,nonpun,9,a,mass,exam,13,1512,1
1448,172,nonpun,12,a,special,build,13,1520,1
1449,174,nonpun,14,a,scissors,like,13,1528,1
1450,176,nonpun,16,a,blue,tree,13,1536,1
1451,179,nonpun,19,a,salvation,carpet,13,1544,1
1452,183,nonpun,23,a,crime,covered,13,1552,1
1453,184,nonpun,24,a,pock,cooperation,13,1560,1
1454,186,nonpun,26,a,habit,rings,13,1568,1
1455,188,nonpun,28,a,holmes,measure,13,1576,1
1456,190,nonpun,30,a,temper,coffee,13,1584,1
1457,192,nonpun,32,a,liable,movie,13,1592,1
1458,194,nonpun,34,a,profane,burns,13,1600,1
1459,196,nonpun,36,a,lambs,eat,13,1608,1
1460,199,nonpun,39,a,raving,large,13,1616,1
1461,200,nonpun,40,a,alcohol,ideal,13,1624,1
1462,202,nonpun,42,a,aching,rose,13,1632,1
1463,203,nonpun,43,a,irritation,water,13,1640,1
1464,206,nonpun,46,a,tell,farmers,13,1648,1
1465,208,nonpun,48,a,fire,ireland,13,1656,1
1466,211,nonpun,51,a,been,eat,13,1664,1
1467,212,nonpun,52,a,order,air,13,1672,1
1468,214,nonpun,54,a,best,mice,13,1680,1
1469,216,nonpun,56,a,lag,legs,13,1688,1
1470,219,nonpun,59,a,traumatic,unusual,13,1696,1
1471,222,nonpun,62,a,prison,reflect,13,1704,1
1472,224,nonpun,64,a,chief,airport,13,1712,1
1473,226,nonpun,66,a,pants,not,13,1720,1
1474,228,nonpun,68,a,minds,skilled,13,1728,1
1475,230,nonpun,70,a,attitude,feet,13,1736,1
1476,234,nonpun,74,a,cream,office,13,1744,1
1477,235,nonpun,75,a,see,run,13,1752,1
1478,237,nonpun,77,a,sauce,not,13,1760,1
1479,239,nonpun,79,a,express,like,13,1768,1
1480,241,nonpun,1,b,lion,lines,13,1776,1
1481,244,nonpun,4,b,heir,found,13,1784,1
1482,246,nonpun,6,b,ambiance,came,13,1792,1
1483,248,nonpun,8,b,reword,working,13,1800,1
1484,250,nonpun,10,b,stealer,steel,13,1808,1
1485,253,nonpun,13,b,whirled,possible,13,1816,1
1486,255,nonpun,15,b,launch,sandwich,13,1824,1
1487,258,nonpun,18,b,fillings,strong,13,1832,1
1488,260,nonpun,20,b,orifice,skyscraper,13,1840,1
1489,262,nonpun,22,b,sperm,workers,13,1848,1
1490,263,nonpun,23,b,grime,dealing,13,1856,1
1491,267,nonpun,27,b,screaming,went,13,1864,1
1492,269,nonpun,29,b,kant,remember,13,1872,1
1493,272,nonpun,32,b,libel,contracts,13,1880,1
1494,273,nonpun,33,b,tryst,thread,13,1888,1
1495,276,nonpun,36,b,yams,roast,13,1896,1
1496,278,nonpun,38,b,magnate,holds,13,1904,1
1497,280,nonpun,40,b,alkaline,easily,13,1912,1
1498,282,nonpun,42,b,aiken,sitting,13,1920,1
1499,284,nonpun,44,b,auntie,buy,13,1928,1
1500,286,nonpun,46,b,till,child,13,1936,1
1501,289,nonpun,49,b,alp,friend,13,1944,1
1502,291,nonpun,51,b,bean,time,13,1952,1
1503,293,nonpun,53,b,watt,parking,13,1960,1
1504,296,nonpun,56,b,leg,news,13,1968,1
1505,297,nonpun,57,b,decade,hygiene,13,1976,1
1506,300,nonpun,60,b,hosta,driver,13,1984,1
1507,302,nonpun,62,b,prism,bank,13,1992,1
1508,304,nonpun,64,b,thief,known,13,2000,1
1509,306,nonpun,66,b,plants,pair,13,2008,1
1510,309,nonpun,69,b,glittering,caught,13,2016,1
1511,312,nonpun,72,b,necks,time,13,2024,1
1512,313,nonpun,73,b,digestion,trees,13,2032,1
1513,316,nonpun,76,b,author,considerate,13,2040,1
1514,317,nonpun,77,b,source,cream,13,2048,1
1515,320,nonpun,80,b,scents,business,13,2056,1
11,3,pun,3,a,cilia,mustache,14,11,1
59,11,pun,11,a,wicker,getting,14,62,1
107,20,pun,20,a,orifice,hard,14,107,1
155,27,pun,27,a,screaming,arranged,14,155,1
203,36,pun,36,a,yams,movie,14,203,1
251,44,pun,44,a,auntie,upped,14,1931,1
299,55,pun,55,a,crank,people,14,299,1
347,62,pun,62,a,prism,years,14,347,1
395,69,pun,69,a,glittering,only,14,395,1
443,79,pun,79,a,espresso,know,14,443,1
491,87,pun,7,b,purchase,contest,14,491,1
539,97,pun,17,b,free,pet,14,539,1
587,104,pun,24,b,pock,marks,14,1281,1
635,113,pun,33,b,twist,secret,14,635,1
683,121,pun,41,b,slave,boss,14,1335,1
731,131,pun,51,b,been,selling,14,731,1
779,139,pun,59,b,traumatic,stress,14,779,1
827,147,pun,67,b,insider,convicted,14,827,1
875,156,pun,76,b,offer,required,14,875,1
923,166,nonpun,6,a,ambiance,charm,14,923,1
971,182,nonpun,22,a,sperm,donate,14,971,1
1019,193,nonpun,33,a,tryst,country,14,1019,1
1067,204,nonpun,44,a,auntie,sister,14,1067,1
1115,218,nonpun,58,a,dramatic,works,14,1115,1
1163,232,nonpun,72,a,necks,neck,14,1163,1
1211,245,nonpun,5,b,closing,remarks,14,1211,1
1259,259,nonpun,19,b,salvation,prayed,14,1259,1
1307,272,nonpun,32,b,liable,property,14,1307,1
1355,285,nonpun,45,b,future,happen,14,1355,1
1403,299,nonpun,59,b,traumatic,incident,14,1403,1
1451,313,nonpun,73,b,destruction,causes,14,1451,1
1452,161,nonpun,1,a,line,lion's,14,1481,1
1453,163,nonpun,3,a,sillier,projections,14,1489,1
1454,165,nonpun,5,a,closing,basic,14,1497,1
1455,167,nonpun,7,a,purchase,sides,14,1505,1
1456,169,nonpun,9,a,mass,school,14,1513,1
1457,172,nonpun,12,a,special,house,14,1521,1
1458,174,nonpun,14,a,scissors,caesar,14,1529,1
1459,176,nonpun,16,a,blue,week ,14,1537,1
1460,180,nonpun,20,a,office,mouth,14,1545,1
1461,184,nonpun,24,a,pock,end,14,1553,1
1462,185,nonpun,25,a,bones,company,14,1561,1
1463,186,nonpun,26,a,habit,hobbits,14,1569,1
1464,188,nonpun,28,a,holmes,electrical,14,1577,1
1465,191,nonpun,31,a,late,like,14,1585,1
1466,192,nonpun,32,a,liable,star,14,1593,1
1467,194,nonpun,34,a,profane,gas,14,1601,1
1468,196,nonpun,36,a,lambs,turkey,14,1609,1
1469,199,nonpun,39,a,raving,black,14,1617,1
1470,200,nonpun,40,a,alcohol,ph,14,1625,1
1471,202,nonpun,42,a,aching,fame,14,1633,1
1472,203,nonpun,43,a,irritation,land,14,1641,1
1473,206,nonpun,46,a,tell,soil,14,1649,1
1474,209,nonpun,49,a,help,very,14,1657,1
1475,211,nonpun,51,a,been,lima,14,1665,1
1476,213,nonpun,53,a,lot,desk,14,1673,1
1477,214,nonpun,54,a,best,flies,14,1681,1
1478,217,nonpun,57,a,decay,pretty,14,1689,1
1479,219,nonpun,59,a,traumatic,structure,14,1697,1
1480,222,nonpun,62,a,prison,split,14,1705,1
1481,225,nonpun,65,a,resolution,industrial,14,1713,1
1482,226,nonpun,66,a,pants,live,14,1721,1
1483,228,nonpun,68,a,minds,imitating,14,1729,1
1484,231,nonpun,71,a,presents,general,14,1737,1
1485,234,nonpun,74,a,cream,uses,14,1745,1
1486,235,nonpun,75,a,see,away,14,1753,1
1487,237,nonpun,77,a,sauce,having,14,1761,1
1488,239,nonpun,79,a,express,dinner,14,1769,1
1489,241,nonpun,1,b,lion,printed,14,1777,1
1490,244,nonpun,4,b,heir,cat,14,1785,1
1491,246,nonpun,6,b,ambiance,car,14,1793,1
1492,248,nonpun,8,b,reword,hard,14,1801,1
1493,251,nonpun,11,b,wicker,man,14,1809,1
1494,253,nonpun,13,b,whirled,fly,14,1817,1
1495,256,nonpun,16,b,bloom,yellow,14,1825,1
1496,258,nonpun,18,b,fillings,criticism,14,1833,1
1497,261,nonpun,21,b,braille,posted,14,1841,1
1498,262,nonpun,22,b,sperm,together,14,1849,1
1499,264,nonpun,24,b,epoch,smallpox,14,1857,1
1500,267,nonpun,27,b,screaming,movie,14,1865,1
1501,269,nonpun,29,b,kant,time,14,1873,1
1502,272,nonpun,32,b,libel,state,14,1881,1
1503,273,nonpun,33,b,tryst,needle,14,1889,1
1504,276,nonpun,36,b,yams,leg,14,1897,1
1505,278,nonpun,38,b,magnate,paper,14,1905,1
1506,281,nonpun,41,b,shave,boss,14,1913,1
1507,283,nonpun,43,b,irrigation,tried,14,1921,1
1508,284,nonpun,44,b,auntie,house,14,1929,1
1509,286,nonpun,46,b,till,night,14,1937,1
1510,289,nonpun,49,b,alp,homework,14,1945,1
1511,291,nonpun,51,b,bean,saw,14,1953,1
1512,294,nonpun,54,b,pest,student,14,1961,1
1513,296,nonpun,56,b,leg,until,14,1969,1
1514,298,nonpun,58,b,grammatic,car,14,1977,1
1515,300,nonpun,60,b,hosta,attitude,14,1985,1
1516,303,nonpun,63,b,fridge,trains,14,1993,1
1517,304,nonpun,64,b,thief,chief ,14,2001,1
1518,307,nonpun,67,b,incisor,trading,14,2009,1
1519,309,nonpun,69,b,glittering,pay,14,2017,1
1520,312,nonpun,72,b,necks,late,14,2025,1
1521,314,nonpun,74,b,ream,butter,14,2033,1
1522,316,nonpun,76,b,author,give,14,2041,1
1523,318,nonpun,78,b,paste,company,14,2049,1
14,3,pun,3,a,cilia,symmetrical,15,14,1
62,11,pun,11,a,wicker,getting,15,62,1
110,21,pun,21,a,braille,ashley,15,110,1
158,28,pun,28,a,ohms,stay,15,158,1
206,36,pun,36,a,yams,called,15,206,1
254,45,pun,45,a,fuchsia,resolution,15,254,1
302,55,pun,55,a,crank,work,15,302,1
350,63,pun,63,a,fridge,explained,15,350,1
398,70,pun,70,a,altitude,pilot,15,398,1
446,80,pun,80,a,scents,"$20,000 ",15,446,1
494,89,pun,9,b,mass,rubber,15,494,1
542,97,pun,17,b,free,dog,15,1538,1
590,105,pun,25,b,bones,worked,15,590,1
638,113,pun,33,b,twist,plot,15,638,1
686,121,pun,41,b,slave,beards,15,686,1
734,131,pun,51,b,been,those,15,734,1
782,140,pun,60,b,hostile,club,15,782,1
830,148,pun,68,b,minds,burglars,15,830,1
878,156,pun,76,b,offer,made,15,878,1
926,167,nonpun,7,a,perches,sunny,15,926,1
974,183,nonpun,23,a,grime,covered,15,974,1
1022,194,nonpun,34,a,propane,burns,15,1022,1
1070,206,nonpun,46,a,till,farmers,15,1070,1
1118,219,nonpun,59,a,grammatic,unusual,15,1118,1
1166,234,nonpun,74,a,ream,office,15,1166,1
1214,246,nonpun,6,b,ambulance,came,15,1214,1
1262,260,nonpun,20,b,office,skyscraper,15,1262,1
1310,273,nonpun,33,b,twist,thread,15,1310,1
1358,286,nonpun,46,b,tell,child,15,1358,1
1406,300,nonpun,60,b,hostile,driver,15,1406,1
1454,313,nonpun,73,b,destruction,trees,15,1454,1
1455,161,nonpun,1,a,line,share,15,1482,1
1456,163,nonpun,3,a,sillier,surface,15,1490,1
1457,165,nonpun,5,a,closing,necessities,15,1498,1
1458,167,nonpun,7,a,purchase,roofs,15,1506,1
1459,170,nonpun,10,a,steeler,hearts,15,1514,1
1460,172,nonpun,12,a,special,plans,15,1522,1
1461,174,nonpun,14,a,scissors,employees,15,1530,1
1462,177,nonpun,17,a,free,dog,15,1538,1
1463,181,nonpun,21,a,bail,reads,15,1546,1
1464,184,nonpun,24,a,pock,nuclear,15,1554,1
1465,185,nonpun,25,a,bones,pays,15,1562,1
1466,187,nonpun,27,a,screening,started,15,1570,1
1467,188,nonpun,28,a,holmes,resistance,15,1578,1
1468,191,nonpun,31,a,late,morning,15,1586,1
1469,193,nonpun,33,a,twist,lovers,15,1594,1
1470,194,nonpun,34,a,profane,stove,15,1602,1
1471,197,nonpun,37,a,talking,wrote,15,1610,1
1472,199,nonpun,39,a,raving,bird,15,1618,1
1473,200,nonpun,40,a,alcohol,balance,15,1626,1
1474,202,nonpun,42,a,aching,won,15,1634,1
1475,203,nonpun,43,a,irritation,soil,15,1642,1
1476,206,nonpun,46,a,tell,springtime ,15,1650,1
1477,209,nonpun,49,a,help,high,15,1658,1
1478,211,nonpun,51,a,been,beans,15,1668,1
1479,213,nonpun,53,a,lot,lamp,15,1674,1
1480,214,nonpun,54,a,best,regarded,15,1682,1
1481,217,nonpun,57,a,decay,long,15,1690,1
1482,220,nonpun,60,a,hostile,beautiful,15,1698,1
1483,222,nonpun,62,a,prison,light,15,1706,1
1484,225,nonpun,65,a,resolution,changed,15,1714,1
1485,227,nonpun,67,a,insider,rats,15,1722,1
1486,228,nonpun,68,a,minds,people,15,1730,1
1487,231,nonpun,71,a,presents,great,15,1738,1
1488,234,nonpun,74,a,cream,20,15,1746,1
1489,236,nonpun,76,a,offer,cervantes,15,1754,1
1490,237,nonpun,77,a,sauce,enough,15,1762,1
1491,240,nonpun,80,a,sense,scent,15,1770,1
1492,241,nonpun,1,b,lion,page,15,1778,1
1493,244,nonpun,4,b,heir,food,15,1786,1
1494,246,nonpun,6,b,ambiance,accident,15,1794,1
1495,248,nonpun,8,b,reword,year,15,1802,1
1496,251,nonpun,11,b,wicker,took,15,1810,1
1497,253,nonpun,13,b,whirled,airplane ,15,1818,1
1498,256,nonpun,16,b,bloom,make,15,1826,1
1499,258,nonpun,18,b,fillings,hurt,15,1834,1
1500,261,nonpun,21,b,braille,"$5,000 ",15,1842,1
1501,262,nonpun,22,b,sperm,moment ,15,1850,1
1502,264,nonpun,24,b,epoch,left,15,1858,1
1503,267,nonpun,27,b,screaming,together,15,1866,1
1504,269,nonpun,29,b,kant,happened,15,1874,1
1505,272,nonpun,32,b,libel,tenants,15,1882,1
1506,274,nonpun,34,b,propane,man,15,1890,1
1507,276,nonpun,36,b,yams,lamb,15,1898,1
1508,278,nonpun,38,b,magnate,clips,15,1906,1
1509,281,nonpun,41,b,shave,told,15,1914,1
1510,283,nonpun,43,b,irrigation,hide,15,1922,1
1511,284,nonpun,44,b,auntie,owner,15,1930,1
1512,287,nonpun,47,b,house,asked,15,1938,1
1513,290,nonpun,50,b,garden,dog,15,1946,1
1514,292,nonpun,52,b,odor,arranged,15,1954,1
1515,294,nonpun,54,b,pest,class,15,1962,1
1516,296,nonpun,56,b,leg,days,15,1970,1
1517,298,nonpun,58,b,grammatic,accident,15,1978,1
1518,301,nonpun,61,b,dublin,amount,15,1986,1
1519,303,nonpun,63,b,fridge,go,15,1994,1
1520,305,nonpun,65,b,revolution,admired,15,2002,1
1521,307,nonpun,67,b,incisor,get,15,2010,1
1522,309,nonpun,69,b,glittering,fine,15,2018,1
1523,312,nonpun,72,b,necks,you'll,15,2026,1
1524,314,nonpun,74,b,ream,made,15,2034,1
1525,316,nonpun,76,b,author,ride,15,2042,1
1526,318,nonpun,78,b,paste,employees,15,2050,1
23,4,pun,4,a,heir,put,16,23,1
71,13,pun,13,a,whirled,astronaut,16,71,1
119,22,pun,22,a,sperm,either,16,119,1
167,30,pun,30,a,tamper,barista,16,1003,1
215,37,pun,37,a,tolkien,wife,16,215,1
263,47,pun,47,a,house,real,16,263,1
311,57,pun,57,a,decade,brushing,16,311,1
359,65,pun,65,a,revolution,satellite,16,359,1
407,73,pun,73,a,digestion,call,16,407,1
455,81,pun,1,b,line,tow,16,455,1
503,90,pun,10,b,steeler,stole,16,503,1
551,99,pun,19,b,salvation,pavlov,16,551,1
599,106,pun,26,b,habit,force,16,599,1
647,115,pun,35,b,leaving,like,16,647,1
695,123,pun,43,b,irritation,sprinkler,16,695,1
743,133,pun,53,b,lot,turn,16,743,1
791,142,pun,62,b,prison,scientist,16,791,1
839,149,pun,69,b,littering,bell,16,839,1
887,159,pun,79,b,express,why,16,887,1
935,169,nonpun,9,a,math,school,16,935,1
983,185,nonpun,25,a,bonus,company,16,983,1
1031,196,nonpun,36,a,yams,turkey,16,1031,1
1079,209,nonpun,49,a,alp,very,16,1079,1
1127,222,nonpun,62,a,prism,split,16,1127,1
1175,235,nonpun,75,a,seize,away,16,1175,1
1223,248,nonpun,8,b,reward,hard,16,1223,1
1271,262,nonpun,22,b,spur,together,16,1271,1
1319,276,nonpun,36,b,lambs,leg,16,1319,1
1367,289,nonpun,49,b,help,homework,16,1367,1
1415,303,nonpun,63,b,bridge,trains,16,1415,1
1463,316,nonpun,76,b,offer,give,16,1463,1
1464,161,nonpun,1,a,line,profits,16,1483,1
1465,163,nonpun,3,a,sillier,cells,16,1491,1
1466,166,nonpun,6,a,ambulance,hotel,16,1499,1
1467,168,nonpun,8,a,reward,mayor,16,1507,1
1468,171,nonpun,11,a,wicked,chair,16,1515,1
1469,172,nonpun,12,a,special,paper,16,1523,1
1470,175,nonpun,15,a,lunch,space,16,1531,1
1471,177,nonpun,17,a,free,fleas,16,1539,1
1472,181,nonpun,21,a,bail,fingertips,16,1547,1
1473,184,nonpun,24,a,pock,arms,16,1555,1
1474,185,nonpun,25,a,bones,end,16,1563,1
1475,187,nonpun,27,a,screening,man,16,1571,1
1476,189,nonpun,29,a,can't,german,16,1579,1
1477,191,nonpun,31,a,late,wake,16,1587,1
1478,193,nonpun,33,a,twist,go,16,1595,1
1479,195,nonpun,35,a,leaving,saw,16,1603,1
1480,197,nonpun,37,a,talking,lord,16,1611,1
1481,200,nonpun,40,a,alcohol,tried,16,1619,1
1482,201,nonpun,41,a,slave,beard,16,1627,1
1483,202,nonpun,42,a,aching,american,16,1635,1
1484,204,nonpun,44,a,ante,betty,16,1643,1
1485,207,nonpun,47,a,how's,located,16,1651,1
1486,209,nonpun,49,a,help,mountain,16,1659,1
1487,211,nonpun,51,a,been,black,16,1667,1
1488,213,nonpun,53,a,lot,uses,16,1675,1
1489,214,nonpun,54,a,best,pests,16,1683,1
1490,217,nonpun,57,a,decay,time,16,1691,1
1491,220,nonpun,60,a,hostile,plant,16,1699,1
1492,223,nonpun,63,a,bridge,put,16,1707,1
1493,225,nonpun,65,a,resolution,people,16,1715,1
1494,227,nonpun,67,a,insider,tore,16,1723,1
1495,229,nonpun,69,a,littering,jewels,16,1731,1
1496,232,nonpun,72,a,next,wore,16,1739,1
1497,234,nonpun,74,a,cream,reams,16,1747,1
1498,236,nonpun,76,a,offer,famous,16,1755,1
1499,237,nonpun,77,a,sauce,money,16,1763,1
1500,240,nonpun,80,a,sense,flowers,16,1771,1
1501,242,nonpun,2,b,tooth,speaks,16,1779,1
1502,245,nonpun,5,b,clothing,chairman,16,1787,1
1503,246,nonpun,6,b,ambiance,minutes,16,1795,1
1504,249,nonpun,9,b,math,people,16,1803,1
1505,251,nonpun,11,b,wicker,child,16,1811,1
1506,254,nonpun,14,b,caesars,hairdressers,16,1819,1
1507,256,nonpun,16,b,bloom,green,16,1827,1
1508,258,nonpun,18,b,fillings,daughter's,16,1835,1
1509,261,nonpun,21,b,braille,brother's,16,1843,1
1510,263,nonpun,23,b,grime,police,16,1851,1
1511,264,nonpun,24,b,epoch,marks,16,1859,1
1512,268,nonpun,28,b,ohms,really,16,1867,1
1513,270,nonpun,30,b,tamper,bad,16,1875,1
1514,272,nonpun,32,b,libel,damages,16,1883,1
1515,274,nonpun,34,b,propane,uses,16,1891,1
1516,276,nonpun,36,b,yams,dinner,16,1899,1
1517,279,nonpun,39,b,raven,mad,16,1907,1
1518,281,nonpun,41,b,shave,work,16,1915,1
1519,283,nonpun,43,b,irrigation,irritationbut,16,1923,1
1520,284,nonpun,44,b,auntie,upped,16,1931,1
1521,287,nonpun,47,b,house,going,16,1939,1
1522,290,nonpun,50,b,garden,just,16,1947,1
1523,292,nonpun,52,b,odor,newspapers,16,1955,1
1524,295,nonpun,55,b,crank,drinking,16,1963,1
1525,296,nonpun,56,b,leg,later,16,1971,1
1526,298,nonpun,58,b,grammatic,very,16,1979,1
1527,301,nonpun,61,b,dublin,business,16,1987,1
1528,303,nonpun,63,b,fridge,river,16,1995,1
1529,305,nonpun,65,b,revolution,quit,16,2003,1
1530,307,nonpun,67,b,incisor,lot,16,2011,1
1531,310,nonpun,70,b,altitude,good,16,2019,1
1532,312,nonpun,72,b,necks,trouble,16,2027,1
1533,315,nonpun,75,b,seize,able,16,2035,1
1534,317,nonpun,77,b,source,love,16,2043,1
