uniquePairID,uniqueID,sentenceID,homophoneID,phoneticID,sentenceType,isOrig,homophone,word,dummy
1,236,1,1-b,1,pun,1,profit,atheism,1
2,341,106,1-b,1,nonpun,1,profit,biblical,1
3,171,171,1-b,1,nonpun,0,profit,business,1
4,341,106,1-b,1,nonpun,1,profit,daniel,1
5,171,171,1-b,1,nonpun,0,profit,dollars,1
6,341,106,1-b,1,nonpun,1,profit,dreams,1
7,341,106,1-b,1,nonpun,1,profit,interpreting,1
8,341,106,1-b,1,nonpun,1,profit,known,1
9,171,171,1-b,1,nonpun,0,profit,made,1
10,171,171,1-b,1,nonpun,0,profit,million,1
11,301,66,1-b,1,depunned,1,profit,nationalism,1
12,236,1,1-b,1,pun,1,profit,non,1
12,301,66,1-b,1,depunned,1,profit,non,1
13,236,1,1-b,1,pun,1,profit,organization,1
13,301,66,1-b,1,depunned,1,profit,organization,1
14,171,171,1-b,1,nonpun,0,profit,year,1
15,1,1,1-a,1,pun,0,prophet,atheism,1
16,106,106,1-a,1,nonpun,0,prophet,biblical,1
17,406,171,1-a,1,nonpun,1,prophet,business,1
18,106,106,1-a,1,nonpun,0,prophet,daniel,1
19,406,171,1-a,1,nonpun,1,prophet,dollars,1
20,106,106,1-a,1,nonpun,0,prophet,dreams,1
21,106,106,1-a,1,nonpun,0,prophet,interpreting,1
22,106,106,1-a,1,nonpun,0,prophet,known,1
23,406,171,1-a,1,nonpun,1,prophet,made,1
24,406,171,1-a,1,nonpun,1,prophet,million,1
25,66,66,1-a,1,depunned,0,prophet,nationalism,1
26,1,1,1-a,1,pun,0,prophet,non,1
26,66,66,1-a,1,depunned,0,prophet,non,1
27,1,1,1-a,1,pun,0,prophet,organization,1
27,66,66,1-a,1,depunned,0,prophet,organization,1
28,406,171,1-a,1,nonpun,1,prophet,year,1
29,407,172,2-a,2,nonpun,1,pi,apple,1
30,2,2,2-a,2,pun,0,pi,circumference,1
31,107,107,2-a,2,nonpun,0,pi,decimal,1
32,407,172,2-a,2,nonpun,1,pi,dessert,1
33,2,2,2-a,2,pun,0,pi,get,1
33,67,67,2-a,2,depunned,0,pi,get,1
34,2,2,2-a,2,pun,0,pi,large,1
34,67,67,2-a,2,depunned,0,pi,large,1
35,407,172,2-a,2,nonpun,1,pi,like,1
36,107,107,2-a,2,nonpun,0,pi,number,1
37,107,107,2-a,2,nonpun,0,pi,places,1
38,107,107,2-a,2,nonpun,0,pi,recite,1
39,107,107,2-a,2,nonpun,0,pi,ten,1
40,107,107,2-a,2,nonpun,0,pi,up,1
41,67,67,2-a,2,depunned,0,pi,waistline,1
42,172,172,2-b,2,nonpun,0,pie,apple,1
43,237,2,2-b,2,pun,1,pie,circumference,1
44,342,107,2-b,2,nonpun,1,pie,decimal,1
45,172,172,2-b,2,nonpun,0,pie,dessert,1
46,237,2,2-b,2,pun,1,pie,get,1
46,302,67,2-b,2,depunned,1,pie,get,1
47,237,2,2-b,2,pun,1,pie,large,1
47,302,67,2-b,2,depunned,1,pie,large,1
48,172,172,2-b,2,nonpun,0,pie,like,1
49,342,107,2-b,2,nonpun,1,pie,number,1
50,342,107,2-b,2,nonpun,1,pie,places,1
51,342,107,2-b,2,nonpun,1,pie,recite,1
52,342,107,2-b,2,nonpun,1,pie,ten,1
53,342,107,2-b,2,nonpun,1,pie,up,1
54,302,67,2-b,2,depunned,1,pie,waistline,1
55,3,3,3-a,3,pun,0,knead,bakers,1
55,108,108,3-a,3,nonpun,0,knead,bakers,1
56,3,3,3-a,3,pun,0,knead,basis,1
56,68,68,3-a,3,depunned,0,knead,basis,1
57,3,3,3-a,3,pun,0,knead,bread,1
57,108,108,3-a,3,nonpun,0,knead,bread,1
58,68,68,3-a,3,depunned,0,knead,cake,1
59,408,173,3-a,3,nonpun,1,knead,company,1
60,408,173,3-a,3,nonpun,1,knead,computer,1
61,108,108,3-a,3,nonpun,0,knead,dough,1
62,108,108,3-a,3,nonpun,0,knead,flour,1
63,3,3,3-a,3,pun,0,knead,know,1
63,68,68,3-a,3,depunned,0,knead,know,1
64,108,108,3-a,3,nonpun,0,knead,make,1
65,108,108,3-a,3,nonpun,0,knead,milk,1
66,68,68,3-a,3,depunned,0,knead,mothers,1
67,408,173,3-a,3,nonpun,1,knead,programmers,1
68,3,3,3-a,3,pun,0,knead,recipes,1
68,68,68,3-a,3,depunned,0,knead,recipes,1
69,108,108,3-a,3,nonpun,0,knead,together,1
70,3,3,3-a,3,pun,0,knead,trade,1
70,68,68,3-a,3,depunned,0,knead,trade,1
71,238,3,3-b,3,pun,1,need,bakers,1
71,343,108,3-b,3,nonpun,1,need,bakers,1
72,238,3,3-b,3,pun,1,need,basis,1
72,303,68,3-b,3,depunned,1,need,basis,1
73,238,3,3-b,3,pun,1,need,bread,1
73,343,108,3-b,3,nonpun,1,need,bread,1
74,303,68,3-b,3,depunned,1,need,cake,1
75,173,173,3-b,3,nonpun,0,need,company,1
76,173,173,3-b,3,nonpun,0,need,computer,1
77,343,108,3-b,3,nonpun,1,need,dough,1
78,343,108,3-b,3,nonpun,1,need,flour,1
79,238,3,3-b,3,pun,1,need,know,1
79,303,68,3-b,3,depunned,1,need,know,1
80,343,108,3-b,3,nonpun,1,need,make,1
81,343,108,3-b,3,nonpun,1,need,milk,1
82,303,68,3-b,3,depunned,1,need,mothers,1
83,173,173,3-b,3,nonpun,0,need,programmers,1
84,238,3,3-b,3,pun,1,need,recipes,1
84,303,68,3-b,3,depunned,1,need,recipes,1
85,343,108,3-b,3,nonpun,1,need,together,1
86,238,3,3-b,3,pun,1,need,trade,1
86,303,68,3-b,3,depunned,1,need,trade,1
87,409,174,4-a,4,nonpun,1,oar,car,1
88,409,174,4-a,4,nonpun,1,oar,care,1
89,4,4,4-a,4,pun,0,oar,choose,1
89,69,69,4-a,4,depunned,0,oar,choose,1
90,69,69,4-a,4,depunned,0,oar,customer,1
91,109,109,4-a,4,nonpun,0,oar,dipped,1
92,4,4,4-a,4,pun,0,oar,either,1
92,69,69,4-a,4,depunned,0,oar,either,1
93,109,109,4-a,4,nonpun,0,oar,fisherman,1
94,4,4,4-a,4,pun,0,oar,indecisive,1
94,69,69,4-a,4,depunned,0,oar,indecisive,1
95,4,4,4-a,4,pun,0,oar,not,1
95,69,69,4-a,4,depunned,0,oar,not,1
96,409,174,4-a,4,nonpun,1,oar,problems,1
97,109,109,4-a,4,nonpun,0,oar,river,1
98,4,4,4-a,4,pun,0,oar,rower,1
99,409,174,4-a,4,nonpun,1,oar,take,1
100,174,174,4-b,4,nonpun,0,or,car,1
101,174,174,4-b,4,nonpun,0,or,care,1
102,239,4,4-b,4,pun,1,or,choose,1
102,304,69,4-b,4,depunned,1,or,choose,1
103,304,69,4-b,4,depunned,1,or,customer,1
104,344,109,4-b,4,nonpun,1,or,dipped,1
105,239,4,4-b,4,pun,1,or,either,1
105,304,69,4-b,4,depunned,1,or,either,1
106,344,109,4-b,4,nonpun,1,or,fisherman,1
107,239,4,4-b,4,pun,1,or,indecisive,1
107,304,69,4-b,4,depunned,1,or,indecisive,1
108,239,4,4-b,4,pun,1,or,not,1
108,304,69,4-b,4,depunned,1,or,not,1
109,174,174,4-b,4,nonpun,0,or,problems,1
110,344,109,4-b,4,nonpun,1,or,river,1
111,239,4,4-b,4,pun,1,or,rower,1
112,174,174,4-b,4,nonpun,0,or,take,1
113,345,110,5-b,5,nonpun,1,tears,boxes,1
114,240,5,5-b,5,pun,1,tears,cake,1
115,175,175,5-b,5,nonpun,0,tears,cheeks,1
116,240,5,5-b,5,pun,1,tears,emotional,1
116,305,70,5-b,5,depunned,1,tears,emotional,1
117,240,5,5-b,5,pun,1,tears,even,1
117,305,70,5-b,5,depunned,1,tears,even,1
118,305,70,5-b,5,depunned,1,tears,mother-in-law,1
119,175,175,5-b,5,nonpun,0,tears,movie,1
120,175,175,5-b,5,nonpun,0,tears,ran,1
121,175,175,5-b,5,nonpun,0,tears,sad,1
122,345,110,5-b,5,nonpun,1,tears,stacked,1
123,345,110,5-b,5,nonpun,1,tears,warehouse,1
124,175,175,5-b,5,nonpun,0,tears,watched,1
125,240,5,5-b,5,pun,1,tears,wedding,1
125,305,70,5-b,5,depunned,1,tears,wedding,1
126,110,110,5-a,5,nonpun,0,tiers,boxes,1
127,5,5,5-a,5,pun,0,tiers,cake,1
128,410,175,5-a,5,nonpun,1,tiers,cheeks,1
129,5,5,5-a,5,pun,0,tiers,emotional,1
129,70,70,5-a,5,depunned,0,tiers,emotional,1
130,5,5,5-a,5,pun,0,tiers,even,1
130,70,70,5-a,5,depunned,0,tiers,even,1
131,70,70,5-a,5,depunned,0,tiers,mother-in-law,1
132,410,175,5-a,5,nonpun,1,tiers,movie,1
133,410,175,5-a,5,nonpun,1,tiers,ran,1
134,410,175,5-a,5,nonpun,1,tiers,sad,1
135,110,110,5-a,5,nonpun,0,tiers,stacked,1
136,110,110,5-a,5,nonpun,0,tiers,warehouse,1
137,410,175,5-a,5,nonpun,1,tiers,watched,1
138,5,5,5-a,5,pun,0,tiers,wedding,1
138,70,70,5-a,5,depunned,0,tiers,wedding,1
139,346,111,6-b,6,nonpun,1,pole,candidates,1
140,241,6,6-b,6,pun,1,pole,conduct,1
140,306,71,6-b,6,depunned,1,pole,conduct,1
141,346,111,6-b,6,nonpun,1,pole,conducted,1
142,241,6,6-b,6,pun,1,pole,country,1
142,306,71,6-b,6,depunned,1,pole,country,1
143,241,6,6-b,6,pun,1,pole,decided,1
143,306,71,6-b,6,depunned,1,pole,decided,1
144,176,176,6-b,6,nonpun,0,pole,flag,1
144,241,6,6-b,6,pun,1,pole,flag,1
145,306,71,6-b,6,depunned,1,pole,gallup,1
146,241,6,6-b,6,pun,1,pole,new,1
146,306,71,6-b,6,depunned,1,pole,new,1
147,346,111,6-b,6,nonpun,1,pole,political,1
148,346,111,6-b,6,nonpun,1,pole,pollsters,1
149,346,111,6-b,6,nonpun,1,pole,popularity,1
150,176,176,6-b,6,nonpun,0,pole,raised,1
151,176,176,6-b,6,nonpun,0,pole,up,1
152,111,111,6-a,6,nonpun,0,poll,candidates,1
153,6,6,6-a,6,pun,0,poll,conduct,1
153,71,71,6-a,6,depunned,0,poll,conduct,1
154,111,111,6-a,6,nonpun,0,poll,conducted,1
155,6,6,6-a,6,pun,0,poll,country,1
155,71,71,6-a,6,depunned,0,poll,country,1
156,6,6,6-a,6,pun,0,poll,decided,1
156,71,71,6-a,6,depunned,0,poll,decided,1
157,6,6,6-a,6,pun,0,poll,flag,1
157,411,176,6-a,6,nonpun,1,poll,flag,1
158,71,71,6-a,6,depunned,0,poll,gallup,1
159,6,6,6-a,6,pun,0,poll,new,1
159,71,71,6-a,6,depunned,0,poll,new,1
160,111,111,6-a,6,nonpun,0,poll,political,1
161,111,111,6-a,6,nonpun,0,poll,pollsters,1
162,111,111,6-a,6,nonpun,0,poll,popularity,1
163,411,176,6-a,6,nonpun,1,poll,raised,1
164,411,176,6-a,6,nonpun,1,poll,up,1
165,347,112,7-b,7,nonpun,1,board,alone,1
166,242,7,7-b,7,pun,1,board,chairman,1
166,307,72,7-b,7,depunned,1,board,chairman,1
167,177,177,7-b,7,nonpun,0,board,company's,1
168,177,177,7-b,7,nonpun,0,board,directors,1
169,242,7,7-b,7,pun,1,board,executive,1
169,307,72,7-b,7,depunned,1,board,executive,1
170,307,72,7-b,7,depunned,1,board,galas,1
171,347,112,7-b,7,nonpun,1,board,man,1
172,177,177,7-b,7,nonpun,0,board,meeting,1
173,242,7,7-b,7,pun,1,board,meetings,1
174,347,112,7-b,7,nonpun,1,board,old,1
175,347,112,7-b,7,nonpun,1,board,tears,1
176,347,112,7-b,7,nonpun,1,board,time,1
177,112,112,7-a,7,nonpun,0,bored,alone,1
178,7,7,7-a,7,pun,0,bored,chairman,1
178,72,72,7-a,7,depunned,0,bored,chairman,1
179,412,177,7-a,7,nonpun,1,bored,company's,1
180,412,177,7-a,7,nonpun,1,bored,directors,1
181,7,7,7-a,7,pun,0,bored,executive,1
181,72,72,7-a,7,depunned,0,bored,executive,1
182,72,72,7-a,7,depunned,0,bored,galas,1
183,112,112,7-a,7,nonpun,0,bored,man,1
184,412,177,7-a,7,nonpun,1,bored,meeting,1
185,7,7,7-a,7,pun,0,bored,meetings,1
186,112,112,7-a,7,nonpun,0,bored,old,1
187,112,112,7-a,7,nonpun,0,bored,tears,1
188,112,112,7-a,7,nonpun,0,bored,time,1
189,348,113,8-b,8,nonpun,1,grease,country,1
190,308,73,8-b,8,depunned,1,grease,dolmas,1
191,243,8,8-b,8,pun,1,grease,donuts,1
192,348,113,8-b,8,nonpun,1,grease,europe,1
193,243,8,8-b,8,pun,1,grease,know,1
193,308,73,8-b,8,depunned,1,grease,know,1
194,243,8,8-b,8,pun,1,grease,made,1
194,308,73,8-b,8,depunned,1,grease,made,1
195,178,178,8-b,8,nonpun,0,grease,plate,1
196,348,113,8-b,8,nonpun,1,grease,portion,1
197,348,113,8-b,8,nonpun,1,grease,southern,1
198,113,113,8-a,8,nonpun,0,greece,country,1
199,73,73,8-a,8,depunned,0,greece,dolmas,1
200,8,8,8-a,8,pun,0,greece,donuts,1
201,113,113,8-a,8,nonpun,0,greece,europe,1
202,8,8,8-a,8,pun,0,greece,know,1
202,73,73,8-a,8,depunned,0,greece,know,1
203,8,8,8-a,8,pun,0,greece,made,1
203,73,73,8-a,8,depunned,0,greece,made,1
204,413,178,8-a,8,nonpun,1,greece,plate,1
205,113,113,8-a,8,nonpun,0,greece,portion,1
206,113,113,8-a,8,nonpun,0,greece,southern,1
207,244,9,9-b,9,pun,1,sign,above,1
207,309,74,9-b,9,depunned,1,sign,above,1
208,349,114,9-b,9,nonpun,1,sign,angle,1
209,309,74,9-b,9,depunned,1,sign,biology,1
210,179,179,9-b,9,nonpun,0,sign,boutique,1
211,179,179,9-b,9,nonpun,0,sign,clothes,1
212,349,114,9-b,9,nonpun,1,sign,function,1
212,349,114,9-b,9,nonpun,1,sign,function,1
213,244,9,9-b,9,pun,1,sign,hoping,1
213,309,74,9-b,9,depunned,1,sign,hoping,1
214,349,114,9-b,9,nonpun,1,sign,mathematics,1
215,244,9,9-b,9,pun,1,sign,prayed,1
215,309,74,9-b,9,depunned,1,sign,prayed,1
216,179,179,9-b,9,nonpun,0,sign,says,1
217,179,179,9-b,9,nonpun,0,sign,store,1
218,244,9,9-b,9,pun,1,sign,tests,1
218,309,74,9-b,9,depunned,1,sign,tests,1
219,244,9,9-b,9,pun,1,sign,trigonometry,1
220,9,9,9-a,9,pun,0,sine,above,1
220,74,74,9-a,9,depunned,0,sine,above,1
221,114,114,9-a,9,nonpun,0,sine,angle,1
222,74,74,9-a,9,depunned,0,sine,biology,1
223,414,179,9-a,9,nonpun,1,sine,boutique,1
224,414,179,9-a,9,nonpun,1,sine,clothes,1
225,114,114,9-a,9,nonpun,0,sine,function,1
225,114,114,9-a,9,nonpun,0,sine,function,1
226,9,9,9-a,9,pun,0,sine,hoping,1
226,74,74,9-a,9,depunned,0,sine,hoping,1
227,114,114,9-a,9,nonpun,0,sine,mathematics,1
228,9,9,9-a,9,pun,0,sine,prayed,1
228,74,74,9-a,9,depunned,0,sine,prayed,1
229,414,179,9-a,9,nonpun,1,sine,says,1
230,414,179,9-a,9,nonpun,1,sine,store,1
231,9,9,9-a,9,pun,0,sine,tests,1
231,74,74,9-a,9,depunned,0,sine,tests,1
232,9,9,9-a,9,pun,0,sine,trigonometry,1
233,415,180,10-a,10,nonpun,1,principal,believe,1
234,75,75,10-a,10,depunned,0,principal,church,1
235,10,10,10-a,10,pun,0,principal,disliked,1
235,75,75,10-a,10,depunned,0,principal,disliked,1
236,115,115,10-a,10,nonpun,0,principal,high,1
237,10,10,10-a,10,pun,0,principal,john,1
237,75,75,10-a,10,depunned,0,principal,john,1
238,10,10,10-a,10,pun,0,principal,just,1
238,75,75,10-a,10,depunned,0,principal,just,1
239,115,115,10-a,10,nonpun,0,principal,local,1
240,115,115,10-a,10,nonpun,0,principal,ms,1
241,10,10,10-a,10,pun,0,principal,not,1
241,75,75,10-a,10,depunned,0,principal,not,1
242,415,180,10-a,10,nonpun,1,principal,physics,1
243,10,10,10-a,10,pun,0,principal,school,1
243,115,115,10-a,10,nonpun,0,principal,school,1
244,115,115,10-a,10,nonpun,0,principal,wu,1
245,180,180,10-b,10,nonpun,0,principle,believe,1
246,310,75,10-b,10,depunned,1,principle,church,1
247,245,10,10-b,10,pun,1,principle,disliked,1
247,310,75,10-b,10,depunned,1,principle,disliked,1
248,350,115,10-b,10,nonpun,1,principle,high,1
249,245,10,10-b,10,pun,1,principle,john,1
249,310,75,10-b,10,depunned,1,principle,john,1
250,245,10,10-b,10,pun,1,principle,just,1
250,310,75,10-b,10,depunned,1,principle,just,1
251,350,115,10-b,10,nonpun,1,principle,local,1
252,350,115,10-b,10,nonpun,1,principle,ms,1
253,245,10,10-b,10,pun,1,principle,not,1
253,310,75,10-b,10,depunned,1,principle,not,1
254,180,180,10-b,10,nonpun,0,principle,physics,1
255,245,10,10-b,10,pun,1,principle,school,1
255,350,115,10-b,10,nonpun,1,principle,school,1
256,350,115,10-b,10,nonpun,1,principle,wu,1
257,416,181,11-a,11,nonpun,1,cd,bar,1
258,116,116,11-a,11,nonpun,0,cd,bought,1
259,116,116,11-a,11,nonpun,0,cd,classical,1
260,416,181,11-a,11,nonpun,1,cd,drunken,1
261,416,181,11-a,11,nonpun,1,cd,full,1
262,76,76,11-a,11,depunned,0,cd,grocery,1
263,11,11,11-a,11,pun,0,cd,music,1
263,116,116,11-a,11,nonpun,0,cd,music,1
264,116,116,11-a,11,nonpun,0,cd,new,1
265,11,11,11-a,11,pun,0,cd,part,1
265,76,76,11-a,11,depunned,0,cd,part,1
266,416,181,11-a,11,nonpun,1,cd,people,1
267,11,11,11-a,11,pun,0,cd,stores,1
267,76,76,11-a,11,depunned,0,cd,stores,1
268,11,11,11-a,11,pun,0,cd,town,1
268,76,76,11-a,11,depunned,0,cd,town,1
269,416,181,11-a,11,nonpun,1,cd,unwashed,1
270,181,181,11-b,11,nonpun,0,seedy,bar,1
271,351,116,11-b,11,nonpun,1,seedy,bought,1
272,351,116,11-b,11,nonpun,1,seedy,classical,1
273,181,181,11-b,11,nonpun,0,seedy,drunken,1
274,181,181,11-b,11,nonpun,0,seedy,full,1
275,311,76,11-b,11,depunned,1,seedy,grocery,1
276,246,11,11-b,11,pun,1,seedy,music,1
276,351,116,11-b,11,nonpun,1,seedy,music,1
277,351,116,11-b,11,nonpun,1,seedy,new,1
278,246,11,11-b,11,pun,1,seedy,part,1
278,311,76,11-b,11,depunned,1,seedy,part,1
279,181,181,11-b,11,nonpun,0,seedy,people,1
280,246,11,11-b,11,pun,1,seedy,stores,1
280,311,76,11-b,11,depunned,1,seedy,stores,1
281,246,11,11-b,11,pun,1,seedy,town,1
281,311,76,11-b,11,depunned,1,seedy,town,1
282,181,181,11-b,11,nonpun,0,seedy,unwashed,1
283,352,117,12-b,12,nonpun,1,hair,fields,1
284,247,12,12-b,12,pun,1,hair,got,1
284,312,77,12-b,12,depunned,1,hair,got,1
285,182,182,12-b,12,nonpun,0,hair,heads,1
286,182,182,12-b,12,nonpun,0,hair,lots,1
287,247,12,12-b,12,pun,1,hair,mad,1
287,312,77,12-b,12,depunned,1,hair,mad,1
288,247,12,12-b,12,pun,1,hair,magician,1
289,247,12,12-b,12,pun,1,hair,out,1
289,312,77,12-b,12,depunned,1,hair,out,1
290,182,182,12-b,12,nonpun,0,hair,people,1
291,312,77,12-b,12,depunned,1,hair,professor,1
292,247,12,12-b,12,pun,1,hair,pulled,1
292,312,77,12-b,12,depunned,1,hair,pulled,1
293,352,117,12-b,12,nonpun,1,hair,ran,1
294,352,117,12-b,12,nonpun,1,hair,rapidly,1
295,117,117,12-a,12,nonpun,0,hare,fields,1
296,12,12,12-a,12,pun,0,hare,got,1
296,77,77,12-a,12,depunned,0,hare,got,1
297,417,182,12-a,12,nonpun,1,hare,heads,1
298,417,182,12-a,12,nonpun,1,hare,lots,1
299,12,12,12-a,12,pun,0,hare,mad,1
299,77,77,12-a,12,depunned,0,hare,mad,1
300,12,12,12-a,12,pun,0,hare,magician,1
301,12,12,12-a,12,pun,0,hare,out,1
301,77,77,12-a,12,depunned,0,hare,out,1
302,417,182,12-a,12,nonpun,1,hare,people,1
303,77,77,12-a,12,depunned,0,hare,professor,1
304,12,12,12-a,12,pun,0,hare,pulled,1
304,77,77,12-a,12,depunned,0,hare,pulled,1
305,117,117,12-a,12,nonpun,0,hare,ran,1
306,117,117,12-a,12,nonpun,0,hare,rapidly,1
307,13,13,13-a,13,pun,0,knotty,admonished,1
307,78,78,13-a,13,depunned,0,knotty,admonished,1
308,13,13,13-a,13,pun,0,knotty,apparently,1
308,78,78,13-a,13,depunned,0,knotty,apparently,1
309,78,78,13-a,13,depunned,0,knotty,boy,1
309,418,183,13-a,13,nonpun,1,knotty,boy,1
310,118,118,13-a,13,nonpun,0,knotty,cabin,1
311,418,183,13-a,13,nonpun,1,knotty,child,1
312,13,13,13-a,13,pun,0,knotty,father,1
312,78,78,13-a,13,depunned,0,knotty,father,1
313,118,118,13-a,13,nonpun,0,knotty,made,1
314,13,13,13-a,13,pun,0,knotty,pine,1
314,118,118,13-a,13,nonpun,0,knotty,pine,1
315,13,13,13-a,13,pun,0,knotty,sapling,1
316,13,13,13-a,13,pun,0,knotty,young,1
316,78,78,13-a,13,depunned,0,knotty,young,1
317,248,13,13-b,13,pun,1,naughty,admonished,1
317,313,78,13-b,13,depunned,1,naughty,admonished,1
318,248,13,13-b,13,pun,1,naughty,apparently,1
318,313,78,13-b,13,depunned,1,naughty,apparently,1
319,183,183,13-b,13,nonpun,0,naughty,boy,1
319,313,78,13-b,13,depunned,1,naughty,boy,1
320,353,118,13-b,13,nonpun,1,naughty,cabin,1
321,183,183,13-b,13,nonpun,0,naughty,child,1
322,248,13,13-b,13,pun,1,naughty,father,1
322,313,78,13-b,13,depunned,1,naughty,father,1
323,353,118,13-b,13,nonpun,1,naughty,made,1
324,248,13,13-b,13,pun,1,naughty,pine,1
324,353,118,13-b,13,nonpun,1,naughty,pine,1
325,248,13,13-b,13,pun,1,naughty,sapling,1
326,248,13,13-b,13,pun,1,naughty,young,1
326,313,78,13-b,13,depunned,1,naughty,young,1
327,354,119,14-b,14,nonpun,1,taught,between,1
328,354,119,14-b,14,nonpun,1,taught,clothesline,1
329,184,184,14-b,14,nonpun,0,taught,college,1
330,354,119,14-b,14,nonpun,1,taught,hangs,1
331,249,14,14-b,14,pun,1,taught,learn,1
331,314,79,14-b,14,depunned,1,taught,learn,1
332,184,184,14-b,14,nonpun,0,taught,mathematics,1
333,354,119,14-b,14,nonpun,1,taught,poles,1
334,249,14,14-b,14,pun,1,taught,rope,1
335,314,79,14-b,14,depunned,1,taught,skateboard,1
336,184,184,14-b,14,nonpun,0,taught,students,1
337,249,14,14-b,14,pun,1,taught,tricks,1
337,314,79,14-b,14,depunned,1,taught,tricks,1
338,119,119,14-a,14,nonpun,0,taut,between,1
339,119,119,14-a,14,nonpun,0,taut,clothesline,1
340,419,184,14-a,14,nonpun,1,taut,college,1
341,119,119,14-a,14,nonpun,0,taut,hangs,1
342,14,14,14-a,14,pun,0,taut,learn,1
342,79,79,14-a,14,depunned,0,taut,learn,1
343,419,184,14-a,14,nonpun,1,taut,mathematics,1
344,119,119,14-a,14,nonpun,0,taut,poles,1
345,14,14,14-a,14,pun,0,taut,rope,1
346,79,79,14-a,14,depunned,0,taut,skateboard,1
347,419,184,14-a,14,nonpun,1,taut,students,1
348,14,14,14-a,14,pun,0,taut,tricks,1
348,79,79,14-a,14,depunned,0,taut,tricks,1
349,250,15,15-b,15,pun,1,marks,class,1
349,315,80,15-b,15,depunned,1,marks,class,1
350,250,15,15-b,15,pun,1,marks,communism,1
351,250,15,15-b,15,pun,1,marks,dropped,1
351,315,80,15-b,15,depunned,1,marks,dropped,1
